**** Part 3: Raw Performance ****
Blocks(B)	Perf(MiB/s)
128		138.994736
256		256.503645
512		439.241536
1024		683.140585
2048		948.203952
4096		1187.697901
8192		1324.214901
16384		1404.959713
32768		1460.954484
65536		1490.642329
131072		1504.547575
262144		1498.884758
524288		1501.675978
1048576		1498.884758
2097152		1493.333333
**** Part 5: SysCall Performance ****
Calls	read()	lseek()
4096	0.010000	0.000000
8192	0.010000	0.000000
16384	0.010000	0.010000
32768	0.030000	0.020000
65536	0.050000	0.040000
131072	0.110000	0.070000
262144	0.200000	0.140000
524288	0.410000	0.290000
1048576	0.830000	0.570000
2097152	1.660000	1.150000
4194304	3.310000	2.290000
8388608	6.580000	4.560000
6777216	13.170000	9.110000
33554432	26.400000	18.260000
67108864	52.780000	36.450000
